125,lew
89,pies
74,kot
57,PUSTE
56,dzikie
36,koń
32,owca
32,zoo
19,domowe
13,człowiek
13,groźne
13,słoń
11,lama
8,duże
8,krowa
8,tygrys
7,baran
7,dzik
7,las
7,małe
7,ptak
6,dzikość
5,lis
5,przyjaciel
5,roślina
5,ryk
5,złe
4,animal
4,mięso
4,owad
4,ssak
4,wilk
4,żyje
3,dobre
3,natura
3,niebezpieczne
3,sarna
3,wielbłąd
2,bestia
2,bydlę
2,daniel
2,drapieżnik
2,futro
2,głodne
2,jeleń
2,kangur
2,koala
2,kochane
2,koza
2,miłe
2,oswojone
2,radość
2,ryczy
2,ryś
2,strach
2,straszne
1,4y
1,alpaka
1,antylopa
1,"bać się"
1,bielinek
1,bocian
1,bóbr
1,bydle
1,bydlo
1,bydło
1,chodowlane
1,chomik
1,chuj
1,"ci się"
1,domowę
1,drapierzne
1,duze
1,dużę
1,dzi
1,dzicz
1,dziekie
1,dzikosc
1,dziwne
1,etykieta
1,fs
1,futerko
1,futrzane
1,gatunek
1,gepart
1,grozne
1,gryźć
1,instynkt
1,"istota żywa"
1,ja
1,jagnię
1,jamnik
1,jaskółka
1,jednorożec
1,jedzenie
1,jesc
1,jeż
1,juczne
1,kapibara
1,klatka
1,kobieta
1,kocur
1,koniec
1,kotek
1,krolik
1,królik
1,leśne
1,lew]
1,lez
1,lubie
1,łąa
1,łoś
1,łowne
1,małpa
1,moje
1,mors
1,morze
1,Mszyca
1,niebezpoeczne
1,niedzwiedz
1,nieokiełznane
1,nietoperz
1,niewola
1,obowiązek
1,ocean
1,okapi
1,okrutna
1,orzeł
1,osioł
1,owc
1,pajak
1,palić
1,panda
1,pastewne
1,pingwin
1,pleść
1,płochliwe
1,pociągowe
1,polskie
1,pomocy
1,potulne
1,prezydent
1,przyjazne
1,pupilek
1,rak
1,robak
1,rzekotka
1,slon
1,smierc
1,smok
1,sowa
1,spokojne
1,spokój
1,stadne
1,świnia
1,ta
1,towarzyskosc
1,troll
1,tsyf
1,tulenie
1,TYGRYS!
1,ubite
1,uczucie
1,ulubione
1,velociraptor
1,waleczne
1,wiara
1,wieloryb
1,wieprz
1,wiewiorka
1,woad
1,wodne
1,zęby
1,zierzak
1,zomfg
1,zranione
1,zwierz
1,zwirz
1,żyć
1,żyrafa
1,żywot
1,żywy
